networkelementname;sourcename;cleared;clearedtime;perceivedseverity;subnetworkname;count;receivedtime;lastreceivedtime;duration;specificproblem;sequencenumber;accessid
PVAL_OLT_18;0/8/8/67;false;;Warning;PEDRO DE VALDIVIA;1;2024-10-10 16:06:17;2024-10-10T16:06:17.000Z;0 days 00:04:04;The dying-gasp of GPON ONTi (DGi) is generated;433840652;02-1-32MOJQO5
FONT_OLT_3;0/1/4/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:02:32;2024-10-10T16:02:32.000Z;0 days 00:05:57;The dying-gasp of GPON ONTi (DGi) is generated;433836408;02-1-33UTZKVI
FONT_OLT_3;0/1/4/68;false;;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:09:54;2024-10-10T16:09:54.000Z;0 days 00:00:27;The dying-gasp of GPON ONTi (DGi) is generated;433846951;02-1-33UTZKVI
SFRA_OLT_11;0/1/3/65;false;;Warning;SAN FRANCISCO LAS CONDES;1;2024-10-10 16:08:42;2024-10-10T16:08:42.000Z;0 days 00:01:39;The dying-gasp of GPON ONTi (DGi) is generated;433845280;02-1-33FN6VHV
FONT_OLT_2;1/1/2/70;true;2024-10-10 16:08:45;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:03:12;2024-10-10T16:03:12.000Z;0 days 00:05:33;Dying Gasp;433837735;02-1-349YNYAV
SBER_OLT_3;1/14/2/81;false;;Major;SAN BERNARDO;1;2024-10-10 16:08:54;2024-10-10T16:08:54.000Z;0 days 00:01:27;Device Not Active;433845573;02-1-34BJ153S
LREJ_OLT_4;1/11/10/77;true;2024-10-10 16:09:11;Major;LAS REJAS;1;2024-10-10 16:08:28;2024-10-10T16:08:28.000Z;0 days 00:00:43;Device Not Active;433844383;02-1-342P8SDS
YUNG_OLT_5;0/3/0/69;true;2024-10-10 16:08:33;Warning;YUNGAY;1;2024-10-10 16:07:36;2024-10-10T16:07:36.000Z;0 days 00:00:57;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433841536;02-1-33S9Z0WR
FONT_OLT_3;0/1/12/68;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:07:11;2024-10-10T16:07:11.000Z;0 days 00:01:18;The dying-gasp of GPON ONTi (DGi) is generated;433841412;02-1-32PV13Y7
FONT_OLT_3;0/3/6/70;true;2024-10-10 16:08:29;Warning;PEDRO DE FONTOVA;1;2024-10-10 16:06:44;2024-10-10T16:06:44.000Z;0 days 00:01:45;The dying-gasp of GPON ONTi (DGi) is generated;433840913;02-1-33YA6N0X
PAJA_OLT_2;1/1/13/68;true;2024-10-10 16:13:16;Major;PAJARITOS;1;2024-10-10 16:09:48;2024-10-10T16:09:48.000Z;0 days 00:03:28;Device Not Active;433846301;02-1-34FB4D2T
CAL3_OLT_5;0/1/15/65;true;2024-10-10 16:16:36;Warning;CALAMA III;1;2024-10-10 16:06:14;2024-10-10T16:06:14.000Z;0 days 00:10:22;The distribute fiber is broken or the OLT cannot receive expected optical signals from the ONT(LOSi/LOBi);433840501;02-1-334GDJZV
